  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      9.8222E-04      1.0031E+00      1.0000E+00      1.0059E+00      9.8171E-04      8.9938E+01      9.0047E+01      1.0000E+00
      9.8134E-04      1.0027E+00      1.0000E+00      1.0053E+00      9.8104E-04      8.9971E+01      9.0033E+01      1.0000E+00
      9.8708E-04      1.0063E+00      1.0001E+00      1.0124E+00      9.8625E-04      8.9945E+01      9.0089E+01      1.0000E+00
      9.8891E-04      1.0068E+00      1.0001E+00      1.0130E+00      9.8809E-04      8.9906E+01      9.0077E+01      1.0000E+00
      9.8111E-04      1.0024E+00      1.0000E+00      1.0049E+00      9.8100E-04      8.9994E+01      9.0012E+01      1.0000E+00
      9.8139E-04      1.0025E+00      1.0000E+00      1.0049E+00      9.8128E-04      8.9986E+01      9.0012E+01      1.0000E+00
      9.7818E-04      1.0009E+00      1.0000E+00      1.0017E+00      9.7808E-04      8.9987E+01      9.0010E+01      1.0000E+00
      9.7802E-04      1.0008E+00      1.0000E+00      1.0015E+00      9.7798E-04      8.9994E+01      9.0006E+01      1.0000E+00
      9.7697E-04      1.0002E+00      1.0000E+00      1.0004E+00      9.7695E-04      8.9997E+01      9.0002E+01      1.0000E+00
      9.7694E-04      1.0002E+00      1.0000E+00      1.0004E+00      9.7694E-04      8.9999E+01      9.0001E+01      1.0000E+00
      9.7798E-04      1.0007E+00      1.0000E+00      1.0015E+00      9.7797E-04      8.9999E+01      9.0001E+01      1.0000E+00
      9.7805E-04      1.0007E+00      1.0000E+00      1.0014E+00      9.7804E-04      8.9998E+01      9.0002E+01      1.0000E+00
      9.7694E-04      1.0002E+00      1.0000E+00      1.0004E+00      9.7694E-04      9.0000E+01      9.0000E+01      1.0000E+00
      9.7699E-04      1.0002E+00      1.0000E+00      1.0003E+00      9.7699E-04      9.0000E+01      9.0000E+01      1.0000E+00
      9.8914E-04      1.0066E+00      1.0001E+00      1.0127E+00      9.8821E-04      8.9897E+01      9.0083E+01      1.0000E+00
      9.8830E-04      1.0055E+00      1.0001E+00      1.0105E+00      9.8732E-04      8.9919E+01      9.0109E+01      1.0000E+00
      9.8166E-04      1.0024E+00      1.0000E+00      1.0046E+00      9.8152E-04      8.9984E+01      9.0015E+01      1.0000E+00
      9.8254E-04      1.0017E+00      1.0000E+00      1.0032E+00      9.8236E-04      8.9985E+01      9.0022E+01      1.0000E+00
      9.9197E-04      1.0037E+00      1.0000E+00      1.0069E+00      9.9095E-04      8.9939E+01      9.0090E+01      1.0000E+00
      1.0026E-03      1.0015E+00      1.0000E+00      1.0031E+00      1.0013E-03      8.9914E+01      9.0065E+01      1.0000E+00
      9.8616E-04      1.0005E+00      1.0000E+00      1.0009E+00      9.8600E-04      8.9985E+01      9.0008E+01      1.0000E+00
      9.9400E-04      1.0047E+00      1.0000E+00      1.0094E+00      9.9363E-04      8.9954E+01      9.0031E+01      1.0000E+00
      9.7834E-04      1.0006E+00      1.0000E+00      1.0011E+00      9.7831E-04      8.9998E+01      9.0003E+01      1.0000E+00
      9.7955E-04      1.0002E+00      1.0000E+00      1.0003E+00      9.7947E-04      8.9992E+01      9.0010E+01      1.0000E+00
      9.7730E-04      1.0000E+00      1.0000E+00      1.0000E+00      9.7729E-04      8.9999E+01      9.0001E+01      1.0000E+00
      9.7863E-04      1.0007E+00      1.0000E+00      1.0014E+00      9.7859E-04      8.9996E+01      9.0004E+01      1.0000E+00
      9.8347E-04      1.0025E+00      1.0000E+00      1.0047E+00      9.8314E-04      8.9959E+01      9.0043E+01      1.0000E+00
      9.9212E-04      1.0083E+00      1.0001E+00      1.0154E+00      9.9043E-04      8.9809E+01      9.0218E+01      1.0000E+00
      9.8303E-04      1.0031E+00      1.0000E+00      1.0060E+00      9.8280E-04      8.9972E+01      9.0025E+01      1.0000E+00
      9.9419E-04      1.0095E+00      1.0002E+00      1.0181E+00      9.9291E-04      8.9846E+01      9.0130E+01      1.0000E+00
      3.7395E-03      1.0198E+00      1.0012E+00      1.0449E+00      3.6705E-03      8.7977E+01      9.1253E+01      1.0000E+00
      3.4251E-03      1.0525E+00      1.0090E+00      1.1282E+00      3.2301E-03      8.4549E+01      9.3351E+01      1.0000E+00
      2.9908E-03      1.2882E+00      1.1756E+00      1.7957E+00      1.9974E-03      7.2018E+01      1.1363E+02      1.0000E+00
      3.9064E-03      1.0142E+00      1.0011E+00      1.0369E+00      3.8520E-03      8.8361E+01      9.1958E+01      1.0000E+00
      3.9889E-03      1.0472E+00      1.0070E+00      1.1176E+00      3.7296E-03      8.7193E+01      9.5459E+01      1.0000E+00
      4.0365E-03      1.1391E+00      1.0428E+00      1.2612E+00      3.5544E-03      7.4931E+01      1.0455E+02      1.0000E+00
      4.1417E-03      1.1600E+00      1.0288E+00      1.3051E+00      3.5289E-03      7.9801E+01      1.0187E+02      1.0000E+00
      4.2493E-03      1.2288E+00      1.1096E+00      1.4647E+00      3.5214E-03      6.7161E+01      1.0462E+02      1.0000E+00
      8.7731E-03      1.6150E+00      1.6165E+00      1.7908E+00      4.5579E-03      5.2758E+01      1.4113E+02      1.0000E+00
      6.2234E-03      1.4113E+00      1.2679E+00      2.0060E+00      3.8863E-03      5.9389E+01      1.1425E+02      1.0000E+00
      1.6416E-02      1.1332E+00      1.0588E+00      1.3380E+00      1.3509E-02      7.3396E+01      1.0205E+02      1.0000E+00
      1.6908E-03      1.7127E+00      1.6272E+00      2.3164E+00      8.3070E-04      5.1995E+01      1.3755E+02      1.0000E+00
      1.2715E-03      1.4593E+00      1.3373E+00      1.9446E+00      8.1775E-04      5.3229E+01      1.2049E+02      1.0000E+00
      8.1602E-04      1.0852E+00      1.0279E+00      1.2187E+00      6.9794E-04      8.4314E+01      1.0196E+02      1.0000E+00
      1.7646E-03      1.6043E+00      1.4514E+00      2.1906E+00      1.0116E-03      5.4515E+01      1.3027E+02      1.0000E+00
      8.6945E-04      1.0581E+00      1.0197E+00      1.1081E+00      7.9631E-04      8.3600E+01      1.0113E+02      1.0000E+00
      1.7457E-03      1.5508E+00      1.4368E+00      2.1871E+00      1.0042E-03      5.6335E+01      1.2860E+02      1.0000E+00
      1.0638E-03      1.0389E+00      1.0034E+00      1.0531E+00      1.0361E-03      8.6127E+01      9.3723E+01      1.0000E+00
      9.8741E-04      1.0357E+00      1.0091E+00      1.0715E+00      9.2792E-04      8.5571E+01      9.7638E+01      1.0000E+00
      1.0348E-03      1.0050E+00      1.0002E+00      1.0108E+00      1.0282E-03      8.9116E+01      9.1203E+01      1.0000E+00
      1.0616E-03      1.0437E+00      1.0039E+00      1.0627E+00      1.0365E-03      8.6314E+01      9.3810E+01      1.0000E+00
      8.1176E-04      1.0955E+00      1.0290E+00      1.2113E+00      6.8451E-04      8.3583E+01      1.0311E+02      1.0000E+00
      1.6667E-03      1.6822E+00      1.5938E+00      2.3355E+00      8.0484E-04      5.4125E+01      1.3640E+02      1.0000E+00
      1.2474E-03      1.4519E+00      1.3129E+00      1.8962E+00      8.1992E-04      5.3898E+01      1.2049E+02      1.0000E+00
      5.0076E-03      1.6228E+00      1.4714E+00      2.4689E+00      2.5516E-03      4.9758E+01      1.1891E+02      1.0000E+00
      3.2412E-03      1.2127E+00      1.0979E+00      1.5681E+00      2.3542E-03      7.1378E+01      1.0190E+02      1.0000E+00
      6.7186E-03      1.7589E+00      1.7243E+00      2.3868E+00      3.3018E-03      4.8961E+01      1.3919E+02      1.0000E+00
      1.0190E-03      1.0128E+00      1.0002E+00      1.0220E+00      1.0144E-03      8.9757E+01      9.0274E+01      1.0000E+00
      1.0552E-03      1.0466E+00      1.0031E+00      1.0742E+00      1.0258E-03      8.7217E+01      9.2281E+01      1.0000E+00
      1.0017E-03      1.0134E+00      1.0003E+00      1.0261E+00      9.9703E-04      8.9774E+01      9.0306E+01      1.0000E+00
      9.8237E-04      1.0351E+00      1.0021E+00      1.0563E+00      9.5116E-04      8.8057E+01      9.2990E+01      1.0000E+00
      1.2516E-03      1.4466E+00      1.3019E+00      1.9030E+00      8.1561E-04      5.4367E+01      1.1941E+02      1.0000E+00
      8.1344E-04      1.0818E+00      1.0342E+00      1.2009E+00      6.9029E-04      8.2868E+01      1.0398E+02      1.0000E+00
      1.6540E-03      1.6943E+00      1.5910E+00      2.3021E+00      8.1561E-04      5.3201E+01      1.3661E+02      1.0000E+00
      1.0030E-03      1.0209E+00      1.0008E+00      1.0365E+00      9.9488E-04      8.9150E+01      9.1009E+01      1.0000E+00
      9.9185E-04      1.0513E+00      1.0049E+00      1.0743E+00      9.5186E-04      8.6073E+01      9.4799E+01      1.0000E+00
      1.0182E-03      1.0245E+00      1.0010E+00      1.0450E+00      1.0112E-03      8.9196E+01      9.0647E+01      1.0000E+00
      1.0772E-03      1.0678E+00      1.0068E+00      1.1159E+00      1.0377E-03      8.5746E+01      9.3322E+01      1.0000E+00
      8.2511E-04      1.0753E+00      1.0207E+00      1.1797E+00      7.1247E-04      8.5408E+01      1.0098E+02      1.0000E+00
      1.7195E-03      1.6929E+00      1.6231E+00      2.3414E+00      8.7526E-04      5.1566E+01      1.3620E+02      1.0000E+00
      1.3370E-03      1.5341E+00      1.3781E+00      2.0132E+00      8.3421E-04      5.0340E+01      1.2282E+02      1.0000E+00
      3.2632E-03      1.2076E+00      1.0907E+00      1.5670E+00      2.3548E-03      7.3030E+01      1.0411E+02      1.0000E+00
      6.5950E-03      1.7299E+00      1.6129E+00      2.3241E+00      3.3198E-03      5.1290E+01      1.3699E+02      1.0000E+00
      5.1178E-03      1.6149E+00      1.4298E+00      2.4999E+00      2.6621E-03      5.3162E+01      1.1891E+02      1.0000E+00
      1.6266E-02      1.1362E+00      1.0427E+00      1.2891E+00      1.4099E-02      7.5738E+01      1.0335E+02      1.0000E+00
      1.6033E-02      1.1437E+00      1.0440E+00      1.2877E+00      1.4002E-02      7.5550E+01      1.0433E+02      1.0000E+00
      9.7647E-04      1.0021E+00      1.0014E+00      1.0015E+00      9.7633E-04      8.7020E+01      9.2982E+01      1.0000E+00
      9.7705E-04      1.0017E+00      1.0014E+00      1.0008E+00      9.7683E-04      8.7027E+01      9.2984E+01      1.0000E+00
      9.7669E-04      1.0016E+00      1.0012E+00      1.0011E+00      9.7658E-04      8.7255E+01      9.2747E+01      1.0000E+00
      9.7685E-04      1.0005E+00      1.0004E+00      1.0002E+00      9.7678E-04      8.8312E+01      9.1688E+01      1.0000E+00
      9.7733E-04      1.0013E+00      1.0012E+00      1.0004E+00      9.7702E-04      8.7267E+01      9.2748E+01      1.0000E+00
      9.7779E-04      1.0011E+00      1.0004E+00      1.0012E+00      9.7755E-04      8.8331E+01      9.1676E+01      1.0000E+00
      9.7697E-04      1.0022E+00      1.0014E+00      1.0018E+00      9.7588E-04      8.7051E+01      9.3005E+01      1.0000E+00
      9.7331E-04      1.0038E+00      1.0014E+00      1.0062E+00      9.6980E-04      8.7081E+01      9.3064E+01      1.0000E+00
      9.7823E-04      1.0031E+00      1.0012E+00      1.0039E+00      9.7668E-04      8.7321E+01      9.2759E+01      1.0000E+00
      9.8041E-04      1.0034E+00      1.0004E+00      1.0055E+00      9.7922E-04      8.8416E+01      9.1621E+01      1.0000E+00
      9.7658E-04      1.0075E+00      1.0012E+00      1.0133E+00      9.7083E-04      8.7524E+01      9.2812E+01      1.0000E+00
      9.8484E-04      1.0096E+00      1.0004E+00      1.0167E+00      9.8018E-04      8.8697E+01      9.1464E+01      1.0000E+00
      9.7695E-04      1.0003E+00      1.0001E+00      1.0003E+00      9.7692E-04      8.9297E+01      9.0702E+01      1.0000E+00
      9.7700E-04      1.0002E+00      1.0000E+00      1.0004E+00      9.7698E-04      8.9794E+01      9.0205E+01      1.0000E+00
      9.7821E-04      1.0009E+00      1.0001E+00      1.0016E+00      9.7806E-04      8.9320E+01      9.0674E+01      1.0000E+00
