  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      2.5044E-03      1.0026E+00      1.0000E+00      1.0035E+00      2.5000E-03      8.9634E+01      9.0364E+01      1.0000E+00
      2.5103E-03      1.0033E+00      1.0000E+00      1.0054E+00      2.5072E-03      8.9857E+01      9.0143E+01      1.0000E+00
      2.5124E-03      1.0040E+00      1.0000E+00      1.0065E+00      2.5087E-03      8.9686E+01      9.0316E+01      1.0000E+00
      2.5062E-03      1.0036E+00      1.0001E+00      1.0049E+00      2.5001E-03      8.9353E+01      9.0642E+01      1.0000E+00
      2.5102E-03      1.0055E+00      1.0002E+00      1.0075E+00      2.5003E-03      8.8904E+01      9.1070E+01      1.0000E+00
      2.5170E-03      1.0055E+00      1.0001E+00      1.0090E+00      2.5119E-03      8.9454E+01      9.0550E+01      1.0000E+00
      2.5245E-03      1.0079E+00      1.0002E+00      1.0133E+00      2.5172E-03      8.9149E+01      9.0877E+01      1.0000E+00
      2.5226E-03      1.0098E+00      1.0007E+00      1.0142E+00      2.5014E-03      8.7965E+01      9.1875E+01      1.0000E+00
      2.6035E-03      1.0403E+00      1.0063E+00      1.0600E+00      2.5085E-03      8.3914E+01      9.5197E+01      1.0000E+00
      2.5332E-03      1.0099E+00      1.0003E+00      1.0198E+00      2.5267E-03      8.8989E+01      9.1145E+01      1.0000E+00
      2.5344E-03      1.0533E+00      1.0037E+00      1.0800E+00      2.4288E-03      8.7876E+01      9.3013E+01      1.0000E+00
      3.8709E-03      1.7498E+00      1.4619E+00      2.3177E+00      2.1644E-03      4.6743E+01      1.2689E+02      1.0000E+00
      2.1395E-03      1.0640E+00      1.0187E+00      1.1374E+00      1.8797E-03      8.5476E+01      1.0089E+02      1.0000E+00
      4.3958E-03      1.6341E+00      1.5566E+00      2.2754E+00      2.5161E-03      5.1098E+01      1.3222E+02      1.0000E+00
      2.5157E-03      1.0041E+00      1.0000E+00      1.0072E+00      2.5134E-03      8.9893E+01      9.0107E+01      1.0000E+00
      2.5188E-03      1.0048E+00      1.0000E+00      1.0086E+00      2.5161E-03      8.9774E+01      9.0228E+01      1.0000E+00
      2.5195E-03      1.0045E+00      1.0000E+00      1.0084E+00      2.5180E-03      8.9935E+01      9.0065E+01      1.0000E+00
      2.5229E-03      1.0051E+00      1.0000E+00      1.0097E+00      2.5215E-03      8.9871E+01      9.0127E+01      1.0000E+00
      2.5255E-03      1.0066E+00      1.0001E+00      1.0118E+00      2.5220E-03      8.9618E+01      9.0387E+01      1.0000E+00
      2.5356E-03      1.0093E+00      1.0002E+00      1.0169E+00      2.5305E-03      8.9433E+01      9.0593E+01      1.0000E+00
      2.5307E-03      1.0066E+00      1.0001E+00      1.0127E+00      2.5292E-03      8.9809E+01      9.0186E+01      1.0000E+00
      2.5431E-03      1.0088E+00      1.0002E+00      1.0173E+00      2.5413E-03      8.9753E+01      9.0221E+01      1.0000E+00
      2.5467E-03      1.0156E+00      1.0005E+00      1.0282E+00      2.5325E-03      8.9077E+01      9.1081E+01      1.0000E+00
      2.4981E-03      1.0311E+00      1.0021E+00      1.0493E+00      2.4288E-03      8.7542E+01      9.3372E+01      1.0000E+00
      2.5758E-03      1.0164E+00      1.0005E+00      1.0310E+00      2.5638E-03      8.9371E+01      9.0471E+01      1.0000E+00
      2.6577E-03      1.0392E+00      1.0024E+00      1.0674E+00      2.5845E-03      8.7084E+01      9.2002E+01      1.0000E+00
      2.0745E-03      1.0835E+00      1.0371E+00      1.2128E+00      1.7496E-03      8.2433E+01      1.0435E+02      1.0000E+00
      4.2307E-03      1.7163E+00      1.5706E+00      2.3195E+00      2.1860E-03      5.1894E+01      1.3544E+02      1.0000E+00
      3.2515E-03      1.4753E+00      1.3335E+00      1.9669E+00      2.0621E-03      5.3006E+01      1.2021E+02      1.0000E+00
      2.5215E-03      1.0046E+00      1.0000E+00      1.0089E+00      2.5209E-03      8.9971E+01      9.0029E+01      1.0000E+00
      2.5247E-03      1.0051E+00      1.0000E+00      1.0100E+00      2.5243E-03      8.9952E+01      9.0047E+01      1.0000E+00
      2.5223E-03      1.0045E+00      1.0000E+00      1.0090E+00      2.5221E-03      8.9994E+01      9.0006E+01      1.0000E+00
      2.5249E-03      1.0050E+00      1.0000E+00      1.0100E+00      2.5248E-03      8.9992E+01      9.0006E+01      1.0000E+00
      2.5315E-03      1.0065E+00      1.0001E+00      1.0127E+00      2.5308E-03      8.9953E+01      9.0052E+01      1.0000E+00
      2.5412E-03      1.0091E+00      1.0001E+00      1.0173E+00      2.5375E-03      8.9878E+01      9.0096E+01      1.0000E+00
      2.5296E-03      1.0064E+00      1.0001E+00      1.0124E+00      2.5285E-03      8.9961E+01      9.0044E+01      1.0000E+00
      2.5332E-03      1.0082E+00      1.0001E+00      1.0155E+00      2.5295E-03      8.9839E+01      9.0188E+01      1.0000E+00
      2.5682E-03      1.0179E+00      1.0005E+00      1.0310E+00      2.5485E-03      8.9148E+01      9.0693E+01      1.0000E+00
